ts,noise_50,noise_100,noise_200,noise_400,noise_800,i,cos_phi,consumed
1,4000,2000,7000,200,30,4,0.5,920
2,4000,2000,7000,200,30,4,0.5,920
3,4000,2000,7000,200,30,4,0.5,920
4,4000,2000,7000,200,30,4,0.5,920
5,4000,2000,7000,200,30,4,0.5,920
6,4000,2000,7000,200,30,4,0.5,920
7,4000,2000,7000,200,30,4,0.5,920
8,4000,2000,7000,200,30,4,0.5,920
9,4000,2000,7000,200,30,4,0.5,920
10,4000,2000,7000,200,30,4,0.5,920
11,4000,2000,7000,200,30,4,0.5,920
12,4000,2000,7000,200,30,4,0.5,920
13,4000,2000,7000,200,30,4,0.5,920
14,4000,2000,7000,200,30,4,0.5,920
15,4000,2000,7000,200,30,4,0.5,920
16,4000,2000,7000,200,30,4,0.5,920
17,4000,2000,7000,200,30,4,0.5,920
18,4000,2000,7000,200,30,4,0.5,920
19,4000,2000,7000,200,30,4,0.5,920
20,4000,2000,7000,200,30,4,0.5,920
21,4000,2000,7000,200,30,4,0.5,920
22,4000,2000,7000,200,30,4,0.5,920
23,4000,2000,7000,200,30,4,0.5,920
24,4000,2000,7000,200,30,4,0.5,920
25,4000,2000,7000,200,30,4,0.5,920
26,4000,2000,7000,200,30,4,0.5,920
27,4000,2000,7000,200,30,4,0.5,920
28,4000,2000,7000,200,30,4,0.5,920
29,4000,2000,7000,200,30,4,0.5,920
30,4000,2000,7000,200,30,4,0.5,920
31,9000,6500,16500,650,65,8.5,0.5,1955
32,9000,6500,16500,650,65,8.5,0.5,1955
33,9000,6500,16500,650,65,8.5,0.5,1955
34,9000,6500,16500,650,65,8.5,0.5,1955
35,9000,6500,16500,650,65,8.5,0.5,1955
36,9000,6500,16500,650,65,8.5,0.5,1955
37,9000,6500,16500,650,65,8.5,0.5,1955
38,9000,6500,16500,650,65,8.5,0.5,1955
39,9000,6500,16500,650,65,8.5,0.5,1955
40,9000,6500,16500,650,65,8.5,0.5,1955
41,9000,6500,16500,650,65,8.5,0.5,1955
42,9000,6500,16500,650,65,8.5,0.5,1955
43,9000,6500,16500,650,65,8.5,0.5,1955
44,9000,6500,16500,650,65,8.5,0.5,1955
45,9000,6500,16500,650,65,8.5,0.5,1955
46,9000,6500,16500,650,65,8.5,0.5,1955
47,9000,6500,16500,650,65,8.5,0.5,1955
48,9000,6500,16500,650,65,8.5,0.5,1955
49,9000,6500,16500,650,65,8.5,0.5,1955
50,9000,6500,16500,650,65,8.5,0.5,1955
51,9000,6500,16500,650,65,8.5,0.5,1955
52,9000,6500,16500,650,65,8.5,0.5,1955
53,9000,6500,16500,650,65,8.5,0.5,1955
54,9000,6500,16500,650,65,8.5,0.5,1955
55,9000,6500,16500,650,65,8.5,0.5,1955
56,9000,6500,16500,650,65,8.5,0.5,1955
57,9000,6500,16500,650,65,8.5,0.5,1955
58,9000,6500,16500,650,65,8.5,0.5,1955
59,9000,6500,16500,650,65,8.5,0.5,1955
60,9000,6500,16500,650,65,8.5,0.5,1955
61,1500,1000,4000,100,10,1,0.5,230
62,1500,1000,4000,100,10,1,0.5,230
63,1500,1000,4000,100,10,1,0.5,230
64,1500,1000,4000,100,10,1,0.5,230
65,1500,1000,4000,100,10,1,0.5,230
66,1500,1000,4000,100,10,1,0.5,230
67,1500,1000,4000,100,10,1,0.5,230
68,1500,1000,4000,100,10,1,0.5,230
69,1500,1000,4000,100,10,1,0.5,230
70,1500,1000,4000,100,10,1,0.5,230
71,1500,1000,4000,100,10,1,0.5,230
72,1500,1000,4000,100,10,1,0.5,230
73,1500,1000,4000,100,10,1,0.5,230
74,1500,1000,4000,100,10,1,0.5,230
75,1500,1000,4000,100,10,1,0.5,230
76,1500,1000,4000,100,10,1,0.5,230
77,1500,1000,4000,100,10,1,0.5,230
78,1500,1000,4000,100,10,1,0.5,230
79,1500,1000,4000,100,10,1,0.5,230
80,1500,1000,4000,100,10,1,0.5,230
81,1500,1000,4000,100,10,1,0.5,230
82,1500,1000,4000,100,10,1,0.5,230
83,1500,1000,4000,100,10,1,0.5,230
84,1500,1000,4000,100,10,1,0.5,230
85,1500,1000,4000,100,10,1,0.5,230
86,1500,1000,4000,100,10,1,0.5,230
87,1500,1000,4000,100,10,1,0.5,230
88,1500,1000,4000,100,10,1,0.5,230
89,1500,1000,4000,100,10,1,0.5,230
90,1500,1000,4000,100,10,1,0.5,230
91,1500,1000,4000,100,10,1,0.5,230
92,1500,1000,4000,100,10,1,0.5,230
93,1500,1000,4000,100,10,1,0.5,230
94,1500,1000,4000,100,10,1,0.5,230
95,1500,1000,4000,100,10,1,0.5,230
96,1500,1000,4000,100,10,1,0.5,230
97,1500,1000,4000,100,10,1,0.5,230
98,1500,1000,4000,100,10,1,0.5,230
99,1500,1000,4000,100,10,1,0.5,230
100,1500,1000,4000,100,10,1,0.5,230
